tower_temperature,input_voltage,current_consumption,wind_speed,humidity,connected_users,data_traffic_gb,signal_strength,power_outages_24h,tower_age_years,active_antennas,backup_battery_charge,packet_error_rate,days_since_maintenance,tower_status,tower_type_3G,tower_type_4G,tower_type_5G
51.17,204.2,67.07,43.19,55.89,1327,340.98,-85.97,5,2,9,95.55,7.42,135,0,1,0,0
15.0,224.78,33.57,0.0,17.44,3500,14.7,-53.59,2,3,12,100.0,8.35,18,0,0,1,0
42.49,180.16,20.0,0.0,92.97,684,115.06,-67.01,0,0,3,89.69,0.11,283,0,1,0,0
72.33,244.79,20.0,16.06,35.07,2668,500.0,-39.14,2,19,12,100.0,1.82,83,0,0,1,0
32.97,228.34,21.96,12.67,44.15,3500,500.0,-32.22,4,11,6,13.54,6.9,226,0,1,0,0
82.24,184.71,96.17,31.21,65.77,3500,466.39,-78.2,4,25,9,41.58,1.41,285,0,1,0,0
33.14,250.0,120.0,4.72,88.92,3500,225.04,-23.13,0,21,12,84.89,3.07,238,0,0,0,1
22.17,241.51,120.0,47.84,37.3,2031,500.0,-57.52,6,25,6,39.42,1.35,324,0,0,1,0
63.43,211.33,20.0,0.0,25.44,3500,411.06,-20.0,3,25,6,79.86,15.19,340,0,0,0,1
64.43,218.55,68.93,32.07,42.01,332,147.67,-58.35,4,25,7,74.0,21.95,209,1,0,1,0
37.11,250.0,20.0,0.0,37.01,1368,500.0,-33.55,2,17,10,94.3,4.68,74,1,0,1,0
26.86,219.79,120.0,16.7,57.02,3500,420.4,-71.83,8,25,9,39.34,4.1,18,0,0,1,0
15.0,225.07,90.71,73.9,86.24,3500,269.73,-50.68,4,4,9,68.67,8.87,372,0,0,0,1
23.57,250.0,111.94,95.92,41.61,720,91.85,-82.27,4,15,6,49.2,2.57,93,0,0,0,1
21.3,180.0,20.0,0.0,60.69,174,98.11,-82.68,0,7,9,50.0,1.24,23,0,0,0,1
15.0,180.0,20.0,0.0,89.4,3179,431.13,-23.33,4,9,3,83.6,5.02,84,0,0,1,0
15.0,250.0,20.0,120.0,10.0,2340,500.0,-52.43,3,13,9,61.65,0.52,46,0,0,1,0
62.45,233.72,20.0,22.38,10.0,3500,352.24,-20.0,0,25,9,14.68,11.57,45,0,0,1,0
33.81,248.46,87.25,8.05,10.0,971,36.38,-87.6,5,16,3,84.52,1.1,242,0,0,1,0
67.25,205.94,20.0,0.0,69.88,3500,135.11,-51.08,3,0,12,15.71,12.75,203,0,0,0,1
15.0,180.0,20.0,3.97,42.5,1590,57.97,-47.23,0,8,3,65.44,8.99,148,0,0,0,1
